protocol, n, time, data sent, data received
0, 50, 0.1, 0.0, 0.0
0, 100, 0.2, 0.0, 0.0
0, 250, 0.4, 0.0, 0.0
0, 500, 0.8, 0.0, 0.0
0, 750, 1.2, 0.0, 0.0
0, 1000, 1.4, 0.1, 0.0
0, 2000, 3.3, 0.1, 0.1
0, 4000, 5.4, 0.3, 0.1
0, 8000, 9.9, 0.5, 0.3
0, 16000, 21.1, 0.6, 1.1
0, 32000, 40.8, 1.1, 2.2
0, 64000, 87.1, 2.3, 4.2
0, 100000, 122.1, 3.5, 6.6 
